,name,short_name,lat_dec,lon_dec,trap_depth_m,ocean,upwelling,reference,data_source,min_size_micron,max_size_micron,duration_days,all_species_counted,taxonomy,remarks,water_depth_m,open,close,N_pachyderma,G_bulloides,T_quinqueloba,G_glutinata,O_universa,G_scitula,G_white,G_ruber,G_siphonifera,P_obliquiloculata,G_truncatulinoides,G_inflata,G_hirsuta,N_dutertrei,G_crassaformis,T_sacculifer,G_rubescens,G_conglobatus,G_falconensis,N_incompta,G_tenellus,G_menardii,G_tumida,G_theyeri,T_parkerae,G_ungulata,G_calida,G_hexagonus,T_humilis,D_anfracta,B_digitata,H_pelagica,T_fleisheri,T_iota,G_uvula,S_dehiscens,C_nitida,G_adamsi,H_digitata,G_conglomerata,B_pumilio
1,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,23/08/1990 00:00,12/09/1990 00:00,64,6.4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,12/09/1990 00:00,02/10/1990 00:00,642.56,185.6673684,16.57263158,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,02/10/1990 00:00,27/11/1990 00:00,1778.514286,481.272381,165.6609524,225.0438095,0,37.50857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,27/11/1990 00:00,22/01/1991 00:00,288,55.54285714,26.74285714,34.97142857,2.3,6.171428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,22/01/1991 00:00,19/03/1991 00:00,2.285714286,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,08/04/1991 00:00,28/04/1991 00:00,0,25.6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,28/04/1991 00:00,18/05/1991 00:00,368.1982301,770.2088496,122.7327434,89.26017699,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,18/05/1991 00:00,07/06/1991 00:00,58.66666667,11.73333333,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,07/06/1991 00:00,27/06/1991 00:00,6.4,6.4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,07/08/1991 00:00,23/08/1991 00:00,48,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
